Word  |  Frequency  |  Frequency (%)
и  |  10105  |  4.18728%
в  |  4933  |  2.04412%
не  |  4249  |  1.76069%
что  |  3647  |  1.51123%
на  |  3175  |  1.31565%
с  |  3057  |  1.26675%
он  |  3026  |  1.25391%
как  |  1908  |  0.790632%
его  |  1903  |  0.78856%
к  |  1780  |  0.737591%
кн  |  1641  |  0.679993%
то  |  1629  |  0.675021%
все  |  1196  |  0.495595%
она  |  1196  |  0.495595%
сказал  |  1144  |  0.474048%
было  |  1142  |  0.473219%
зь  |  1039  |  0.430538%
это  |  1031  |  0.427223%
за  |  978  |  0.405261%
но  |  959  |  0.397388%
так  |  957  |  0.396559%
ее  |  899  |  0.372525%
ему  |  880  |  0.364652%
по  |  875  |  0.36258%
из  |  830  |  0.343933%
же  |  824  |  0.341447%
Он  |  800  |  0.331502%
был  |  793  |  0.328601%
от  |  778  |  0.322385%
а  |  773  |  0.320314%
о  |  764  |  0.316584%
сь  |  763  |  0.31617%
бы  |  692  |  0.286749%
у  |  661  |  0.273903%
только  |  642  |  0.26603%
ть  |  638  |  0.264373%
Пьер  |  620  |  0.256914%
Я  |  613  |  0.254013%
Андрей  |  594  |  0.24614%
еще  |  570  |  0.236195%
И  |  530  |  0.21962%
вы  |  525  |  0.217548%
Наташа  |  505  |  0.209261%
дл  |  501  |  0.207603%
сказала  |  473  |  0.196%
него  |  467  |  0.193514%
была  |  462  |  0.191442%
Кн  |  456  |  0.188956%
мне  |  452  |  0.187299%
В  |  445  |  0.184398%
себ  |  444  |  0.183983%
л  |  443  |  0.183569%
ли  |  435  |  0.180254%
ты  |  433  |  0.179425%
Ростов  |  429  |  0.177768%
ни  |  423  |  0.175282%
были  |  396  |  0.164093%
быть  |  394  |  0.163265%
Она  |  389  |  0.161193%
чтобы  |  377  |  0.15622%
уже  |  373  |  0.154563%
т  |  370  |  0.15332%
мен  |  367  |  0.152076%
когда  |  366  |  0.151662%
говорил  |  365  |  0.151248%
этого  |  362  |  0.150005%
теперь  |  359  |  0.148761%
того  |  354  |  0.14669%
Но  |  344  |  0.142546%
врем  |  341  |  0.141303%
А  |  339  |  0.140474%
de  |  334  |  0.138402%
их  |  331  |  0.137159%
Да  |  325  |  0.134673%
д  |  318  |  0.131772%
ей  |  317  |  0.131358%
который  |  315  |  0.130529%
очень  |  315  |  0.130529%
оп  |  313  |  0.1297%
себе  |  313  |  0.1297%
Что  |  309  |  0.128043%
Ну  |  307  |  0.127214%
том  |  305  |  0.126385%
ничего  |  302  |  0.125142%
будто  |  297  |  0.12307%
до  |  296  |  0.122656%
при  |  296  |  0.122656%
з  |  294  |  0.121827%
или  |  294  |  0.121827%
они  |  293  |  0.121413%
сто  |  290  |  0.120169%
чем  |  282  |  0.116854%
этот  |  276  |  0.114368%
жна  |  275  |  0.113954%
ней  |  265  |  0.10981%
взгл  |  264  |  0.109396%
которые  |  262  |  0.108567%
всех  |  261  |  0.108152%
вас  |  258  |  0.106909%
раз  |  255  |  0.105666%
тем  |  254  |  0.105252%
глаза  |  244  |  0.101108%
будет  |  243  |  0.100694%
Как  |  240  |  0.0994505%
ним  |  240  |  0.0994505%
Николай  |  239  |  0.0990362%
во  |  238  |  0.0986218%
своей  |  238  |  0.0986218%
Марь  |  237  |  0.0982074%
под  |  233  |  0.0965499%
после  |  232  |  0.0961355%
своего  |  225  |  0.0932349%
лицо  |  223  |  0.0924061%
дело  |  222  |  0.0919917%
Это  |  220  |  0.091163%
мой  |  220  |  0.091163%
где  |  216  |  0.0895055%
свою  |  215  |  0.0890911%
может  |  208  |  0.0861905%
огл  |  208  |  0.0861905%
руку  |  207  |  0.0857761%
мог  |  206  |  0.0853617%
нее  |  206  |  0.0853617%
мы  |  205  |  0.0849473%
х  |  205  |  0.0849473%
более  |  204  |  0.084533%
потому  |  204  |  0.084533%
со  |  204  |  0.084533%
да  |  203  |  0.0841186%
Сон  |  202  |  0.0837042%
вам  |  201  |  0.0832898%
вот  |  200  |  0.0828754%
граф  |  200  |  0.0828754%
вз  |  199  |  0.0824611%
надо  |  196  |  0.0812179%
Нет  |  195  |  0.0808036%
перед  |  195  |  0.0808036%
вдруг  |  193  |  0.0799748%
ми  |  193  |  0.0799748%
Не  |  190  |  0.0787317%
человек  |  190  |  0.0787317%
vous  |  189  |  0.0783173%
один  |  189  |  0.0783173%
сам  |  189  |  0.0783173%
Пьера  |  187  |  0.0774885%
Анна  |  185  |  0.0766598%
про  |  183  |  0.075831%
На  |  182  |  0.0754167%
Все  |  181  |  0.0750023%
ежели  |  180  |  0.0745879%
est  |  178  |  0.0737591%
им  |  177  |  0.0733448%
всегда  |  175  |  0.072516%
спросил  |  175  |  0.072516%
м  |  174  |  0.0721016%
лс  |  173  |  0.0716873%
эти  |  173  |  0.0716873%
без  |  172  |  0.0712729%
говорила  |  172  |  0.0712729%
le  |  171  |  0.0708585%
другой  |  171  |  0.0708585%
об  |  171  |  0.0708585%
que  |  170  |  0.0704441%
своим  |  170  |  0.0704441%
гл  |  169  |  0.0700298%
есть  |  168  |  0.0696154%
et  |  167  |  0.069201%
Вы  |  167  |  0.069201%
этом  |  166  |  0.0687866%
Вот  |  165  |  0.0683722%
кто  |  165  |  0.0683722%
несколько  |  165  |  0.0683722%
которое  |  164  |  0.0679579%
мо  |  164  |  0.0679579%
нет  |  164  |  0.0679579%
нему  |  163  |  0.0675435%
пон  |  162  |  0.0671291%
ла  |  161  |  0.0667147%
людей  |  161  |  0.0667147%
знаю  |  160  |  0.0663004%
непри  |  160  |  0.0663004%
нибудь  |  160  |  0.0663004%
хорошо  |  159  |  0.065886%
день  |  157  |  0.0650572%
между  |  157  |  0.0650572%
m  |  156  |  0.0646428%
Долохов  |  156  |  0.0646428%
думал  |  156  |  0.0646428%
котора  |  155  |  0.0642285%
которого  |  154  |  0.0638141%
la  |  153  |  0.0633997%
Денисов  |  153  |  0.0633997%
эту  |  153  |  0.0633997%
Борис  |  152  |  0.0629853%
друг  |  152  |  0.0629853%
Андре  |  149  |  0.0617422%
говорить  |  149  |  0.0617422%
которой  |  149  |  0.0617422%
тебе  |  149  |  0.0617422%
улыбкой  |  148  |  0.0613278%
l  |  146  |  0.0604991%
вс  |  146  |  0.0604991%
отвечал  |  146  |  0.0604991%
голову  |  145  |  0.0600847%
минуту  |  144  |  0.0596703%
над  |  143  |  0.0592559%
стал  |  143  |  0.0592559%
Ты  |  141  |  0.0584272%
знал  |  141  |  0.0584272%
руки  |  141  |  0.0584272%
этой  |  140  |  0.0580128%
Анатоль  |  139  |  0.0575984%
глазами  |  139  |  0.0575984%
них  |  139  |  0.0575984%
Василий  |  138  |  0.0571841%
голос  |  138  |  0.0571841%
свое  |  138  |  0.0571841%
казалось  |  137  |  0.0567697%
человека  |  137  |  0.0567697%
своих  |  136  |  0.0563553%
жизни  |  135  |  0.0559409%
никогда  |  135  |  0.0559409%
прежде  |  135  |  0.0559409%
даже  |  134  |  0.0555265%
нем  |  133  |  0.0551122%
там  |  133  |  0.0551122%
видел  |  132  |  0.0546978%
графа  |  132  |  0.0546978%
нужно  |  132  |  0.0546978%
зю  |  131  |  0.0542834%
d  |  129  |  0.0534547%
Ах  |  129  |  0.0534547%
больше  |  129  |  0.0534547%
слова  |  128  |  0.0530403%
тоже  |  128  |  0.0530403%
через  |  128  |  0.0530403%
п  |  127  |  0.0526259%
всем  |  125  |  0.0517972%
два  |  125  |  0.0517972%
улыба  |  125  |  0.0517972%
вперед  |  124  |  0.0513828%
сказать  |  124  |  0.0513828%
этих  |  124  |  0.0513828%
вместе  |  122  |  0.050554%
видимо  |  121  |  0.0501396%
прин  |  121  |  0.0501396%
Ростова  |  120  |  0.0497253%
ж  |  120  |  0.0497253%
р  |  120  |  0.0497253%
тому  |  120  |  0.0497253%
хотел  |  120  |  0.0497253%
чего  |  120  |  0.0497253%
